customerid,firstname,lastname,fullname,streetaddress,city,state,zipcode,email,phonenumber,firstpurchasedate,subscribedtoemaillist,gender
205878,Ryan,Coogler,Ryan Coogler,8369 Sadie Ct,Sacramento,CA,95820,ryan_c1@gmail.com,(916) 646-3438,9/14/2013,TRUE,M
205927,Anthony,Swofford,Anthony Swofford,465 Jacinto Ave,North Highlands,CA,95660,aswofford@gmail.com,(916) 750-9615,7/27/2013,FALSE,M
206078,Marcos,Breton,Marcos Breton,4004 Fall River Way,Sacramento,CA,94244,b.marcos46@gmail.com,(916) 992-5021,8/17/2012,FALSE,M
207846,Urijah,Faber,Urijah Faber,7424 Long River Dr,Sacramento,CA,95837,urijahf@gmail.com,(916) 206-7224,7/3/2012,TRUE,M
214537,Sue,Gregory,Sue Gregory,5936 Cedar Rock Cir,Sacramento,CA,95836,gregory_s5@gmail.com,(916) 253-5310,10/21/2012,FALSE,F
216081,Jeff,Float,Jeff Float,9135 Roemer Ln,Sacramento,CA,94277,f_jeff12@aol.com,(916) 610-6682,4/27/2013,FALSE,M
216475,Eleanor,Dillow,Eleanor Dillow,4027 Mountain View Ave,Sacramento,CA,95887,edillow@gmail.com,(916) 969-3760,8/16/2013,TRUE,F
218889,Doris,Morelli,Doris Morelli,736 Mahonia Cir,Isleton,CA,95641,m_doris@aol.com,(916) 847-9046,1/24/2013,TRUE,F
220206,Brent,Bourgeois,Brent Bourgeois,4967 Kimmie Ct,Sacramento,CA,94249,bourgeois_b23@icloud.com,(916) 551-1671,2/19/2013,TRUE,M
224094,Lynn,Newhart,Lynn Newhart,1676 San Mateo Ct,Antelope,CA,95843,lynn.n@zoho.com,(916) 933-9057,3/10/2013,TRUE,F
225489,Annette,Woolard,Annette Woolard,342 Manmar Way,Walnut Grove,CA,95690,annettew25@outlook.com,(916) 544-3564,1/14/2013,TRUE,F
226209,Tim,McCord,Tim McCord,5383 Tanzanite Way,Wilton,CA,95693,tim.m@gmail.com,(916) 163-1292,3/12/2013,FALSE,M
226909,Sandie,Reed,Sandie Reed,8291 Munson Way,Sacramento,CA,95814,s.reed@aol.com,(916) 616-1159,9/10/2013,FALSE,F
227372,Peg,Winchester,Peg Winchester,3546 Glen Springs Way,Elverta,CA,95626,w.peg@mail.com,(916) 692-8007,10/28/2012,FALSE,F
227456,Kathy,Kerr,Kathy Kerr,6709 Ashford Hill Pl,Sacramento,CA,94294,k.kerr@hotmail.com,(916) 501-3274,10/27/2012,TRUE,F
229742,Annette,Nielsen,Annette Nielsen,9472 Calistoga Way,Carmichael,CA,95609,annetten33@yahoo.com,(916) 474-2055,1/8/2013,TRUE,F
230467,Erik,Lobo,Erik Lobo,224 Tennis Ct,Sacramento,CA,95837,lobo.e@yahoo.com,(916) 729-8525,8/3/2013,TRUE,M
230602,May,Tapp,May Tapp,1672 Olympic Way,Sacramento,CA,95829,t_may@yahoo.com,(916) 404-1739,11/23/2012,TRUE,F
231615,Richard,Rodriguez,Richard Rodriguez,8026 Bowen Cir,Sacramento,CA,94205,richard.r@mail.com,(916) 353-4694,8/22/2013,FALSE,M
233813,J.P.,Howell,J.P. Howell,4946 Dylan Ave,Sacramento,CA,94204,j.p.h@icloud.com,(916) 893-1158,6/23/2013,FALSE,M
233956,James,Irvin,James Irvin,4934 Sage Thrasher Cir,Elverta,CA,95626,irvinj77@aol.com,(916) 569-3706,1/15/2013,FALSE,M
235720,Loreto,Garza,Loreto Garza,6290 Sandpointe Ct,Sacramento,CA,94287,loreto_g@mail.com,(916) 619-2434,8/16/2013,FALSE,M
236554,Rich,Manning,Rich Manning,919 Idle Wild Way,Sacramento,CA,94208,manning_r@icloud.com,(916) 521-8440,4/19/2013,FALSE,M
238347,Candace,Askins,Candace Askins,1014 Viking Dr,Sacramento,CA,94229,candace.a@mail.com,(916) 609-8271,10/24/2012,TRUE,F
240205,Anna,Mcconnell,Anna Mcconnell,4241 Elbert Way,Sacramento,CA,95812,anna.m@zoho.com,(916) 195-1397,9/5/2012,TRUE,F
241144,Verna,Alfred,Verna Alfred,5388 Delwood Way,Sacramento,CA,95821,v.alfred@mail.com,(916) 315-0845,7/3/2013,FALSE,F
242720,Randy,Lerch,Randy Lerch,690 E Elkhorn Blvd,North Highlands,CA,95660,l.randy@mail.com,(916) 548-1298,3/24/2013,TRUE,M
244282,Sabrina,Hansen,Sabrina Hansen,9 Dondra Way,Sacramento,CA,95899,hansens@mail.com,(916) 772-7635,1/16/2013,FALSE,F
245577,Kevin,Sharp,Kevin Sharp,8650 Moffatt Way,Sacramento,CA,94248,kevin.s11@yahoo.com,(916) 486-2037,1/20/2013,FALSE,M
247216,Chloe,Sutton,Chloe Sutton,3571 Weldon Way,Sacramento,CA,94285,schloe@outlook.com,(916) 819-9818,12/3/2012,TRUE,F
249188,Isaiah,Ross,Isaiah Ross,6790 Los Coches Way,Orangevale,CA,95662,ross.i72@zoho.com,(916) 467-3491,3/16/2013,TRUE,M
249779,Scott,Pruett,Scott Pruett,5766 Parklite Cir,Antelope,CA,95843,scottp@gmail.com,(916) 240-9266,5/26/2013,FALSE,M
250266,Mildred,Shafer,Mildred Shafer,2288 Piercy Way,Sacramento,CA,94291,smildred@icloud.com,(916) 992-8425,2/21/2013,FALSE,F
253106,Candace,Moriarty,Candace Moriarty,2737 Vallecitos Way,Sacramento,CA,95829,c_moriarty39@icloud.com,(916) 756-5791,5/12/2013,FALSE,F
256181,William,Everson,William Everson,1952 Husch Way,Sacramento,CA,95894,williame@icloud.com,(916) 341-5255,9/13/2012,FALSE,M
262579,Mattie,Ryan,Mattie Ryan,7930 Staggs Way,Elk Grove,CA,95624,rmattie@fastmail.com,(916) 453-4559,5/28/2013,TRUE,F
262638,Brian,Henninger,Brian Henninger,9729 Koyama Ct,Sacramento,CA,95831,brianh@icloud.com,(916) 935-9159,7/27/2013,TRUE,M
265133,Denise,Steele,Denise Steele,2232 Boswell Ct,Sacramento,CA,94244,denise_s43@yahoo.com,(916) 793-4607,9/27/2012,TRUE,F
265339,Jamie,Bottoms,Jamie Bottoms,8246 Singleton Ct,Sacramento,CA,94273,b_jamie@yahoo.com,(916) 665-4187,4/21/2013,TRUE,F
265707,Marko,Cavka,Marko Cavka,6677 Southland Way,Sacramento,CA,95820,c.marko@icloud.com,(916) 309-6667,12/20/2012,TRUE,M
266633,Etu,Molden,Etu Molden,955 Munger Way,Sacramento,CA,94284,emolden2@aol.com,(916) 389-3432,3/31/2013,FALSE,M
267632,Randy,Veres,Randy Veres,7939 Ruge Ct,Sacramento,CA,95834,veres_r@outlook.com,(916) 264-3332,6/6/2013,TRUE,M
269687,Scott,Smith,Scott Smith,8867 Belle Fleur Way,Isleton,CA,95641,smiths@mail.com,(916) 150-2056,7/2/2012,TRUE,M
270853,Helen,Oliver,Helen Oliver,1281 Poinsettia Ct,Sacramento,CA,95853,oliver_h@hotmail.com,(916) 988-5646,7/20/2013,FALSE,F
271531,Mildred,Masters,Mildred Masters,9480 Irvin Way,Sacramento,CA,94294,m_masters@zoho.com,(916) 835-0525,5/3/2013,TRUE,F
274541,Joanna,Benson,Joanna Benson,422 Adkinson Ct,Sacramento,CA,95826,joanna.b53@mail.com,(916) 315-8858,7/31/2012,TRUE,F
275152,Anthony,Padilla,Anthony Padilla,1968 Rosa Del Rio Way,Sacramento,CA,94249,a.padilla@fastmail.com,(916) 171-8841,1/12/2013,TRUE,M
276549,John,Bowker,John Bowker,3500 Carsington Way,Sacramento,CA,94279,b.john@outlook.com,(916) 216-5687,12/17/2012,TRUE,M
277310,Delores,Ramey,Delores Ramey,4055 Tenwoods Ct,Sacramento,CA,94263,ramey.d@yahoo.com,(916) 153-9551,1/2/2013,FALSE,F
277373,Mike,Flanagan,Mike Flanagan,5486 Gustine Way,Elk Grove,CA,95757,mikef10@zoho.com,(916) 699-6637,10/24/2012,TRUE,M
278204,Ann,Spencer,Ann Spencer,338 Raymar Way,Sacramento,CA,95824,s_ann@aol.com,(916) 811-3094,8/29/2012,TRUE,F
278809,Darrin,Nelson,Darrin Nelson,5964 Pintado Ct,Sacramento,CA,94252,ndarrin44@yahoo.com,(916) 745-5644,11/6/2012,TRUE,M
283158,Thelma,Armstead,Thelma Armstead,9078 Shadowglen Rd,Sacramento,CA,94291,thelma.a63@outlook.com,(916) 532-0329,3/14/2013,TRUE,F
286196,Matt,Bouza,Matt Bouza,2228 Shepard Ave,Elverta,CA,95626,m.bouza11@yahoo.com,(916) 909-4497,8/31/2012,FALSE,M
289693,Scott,Galbraith,Scott Galbraith,6725 Sher Ct,Sacramento,CA,94280,g.scott33@outlook.com,(916) 468-4474,12/30/2012,TRUE,M
292402,Onterrio,Smith,Onterrio Smith,3849 Frizell Ave,Sacramento,CA,94286,smitho@outlook.com,(916) 437-4755,8/16/2012,FALSE,M
296208,Leticia,Delisle,Leticia Delisle,2816 Hesket Way,Sacramento,CA,94261,delislel@mail.com,(916) 427-7357,11/17/2012,TRUE,F
296353,Greg,Vaughn,Greg Vaughn,6109 River Grove Cir,Citrus Heights,CA,95611,greg_v98@gmail.com,(916) 935-5283,8/13/2013,FALSE,M
296886,Pam,Doane,Pam Doane,2241 L St,Fair Oaks,CA,95628,doanep30@zoho.com,(916) 934-8098,8/9/2013,FALSE,F
297686,Constance,Weaver,Constance Weaver,134 La Gama Ct,Sacramento,CA,95842,constance.w@zoho.com,(916) 150-2998,6/13/2013,FALSE,F
298508,Emily,Jardine,Emily Jardine,6106 Tiogawoods Dr,Sacramento,CA,94278,jardine.e35@mail.com,(916) 708-0319,7/25/2013,FALSE,F
301793,Eric,Heiden,Eric Heiden,778 Acero Ct,Sacramento,CA,95887,heidene80@aol.com,(916) 768-7209,3/4/2013,TRUE,M
302774,Mike,Patterson,Mike Patterson,9198 Temwoods Way,Sacramento,CA,95817,m_patterson@mail.com,(916) 811-1219,5/4/2013,FALSE,M
304344,Mark,Allen,Mark Allen,9791 Turnbridge Dr,Sacramento,CA,94248,mark_a@icloud.com,(916) 466-7221,1/18/2013,TRUE,M
305005,Spencer,Levin,Spencer Levin,3474 Breanna Ct,Sacramento,CA,95814,spencerl@zoho.com,(916) 207-5325,3/23/2013,FALSE,M
306475,Kris,Ryan,Kris Ryan,6768 Oaken Bucket Ct,Sacramento,CA,94258,ryan_k@icloud.com,(916) 419-0740,7/3/2012,TRUE,F
306853,Bob,Forsch,Bob Forsch,6497 Verna Way,Sacramento,CA,95816,forsch.b@icloud.com,(916) 641-7622,6/22/2013,TRUE,M
308505,Andy,Fox,Andy Fox,484 Dickson St,Sacramento,CA,95814,afox@mail.com,(916) 228-4232,3/7/2013,TRUE,M
308662,Annette,Schmitt,Annette Schmitt,8791 Flowerwood Way,Sacramento,CA,95830,s.annette@aol.com,(916) 681-4901,12/8/2012,TRUE,F
308688,Tammy,Reynolds,Tammy Reynolds,5229 Middlesax Way,Sacramento,CA,94246,rtammy94@hotmail.com,(916) 715-1712,8/19/2013,TRUE,F
310195,Lori,Breazeale,Lori Breazeale,4672 Tungsten Way,Sacramento,CA,94230,b.lori95@mail.com,(916) 429-7344,11/6/2012,FALSE,F
315634,Karen,Kijewski,Karen Kijewski,5473 Pasadena Ave,Elk Grove,CA,95757,karen.k@aol.com,(916) 953-6433,7/11/2013,FALSE,F
317461,Megan,Hsu,Megan Hsu,8265 Predial Way,Sacramento,CA,94239,hsu_m74@outlook.com,(916) 486-7788,1/31/2013,FALSE,F
317807,Joel,Jones,Joel Jones,3463 Durney Ct,Sacramento,CA,94289,j.jones13@mail.com,(916) 261-0393,1/30/2013,TRUE,M
319387,Malachi,Davis,Malachi Davis,6230 Eversley Ct,Sacramento,CA,95818,davis.m@gmail.com,(916) 612-0054,1/6/2013,FALSE,M
323830,Darnell,Hillman,Darnell Hillman,5530 Reef Ct,Sacramento,CA,94244,d.hillman65@gmail.com,(916) 192-3990,7/13/2013,TRUE,M
324435,Teddy,Bruschi,Teddy Bruschi,5355 Surf Way,Sacramento,CA,94209,b.teddy@aol.com,(916) 253-3841,7/22/2012,FALSE,M
325263,Kathleen,Boehmer,Kathleen Boehmer,607 Arrowood Ct,Rancho Cordova,CA,95741,boehmer_k@zoho.com,(916) 367-5930,11/21/2012,TRUE,F
327750,Ethel,Atherton,Ethel Atherton,9102 Peridot Ct,Sacramento,CA,94289,eatherton@icloud.com,(916) 850-0067,9/18/2013,FALSE,F
329994,Thomas,Kelly,Thomas Kelly,3823 Schiro Ct,Sacramento,CA,95817,k.thomas@outlook.com,(916) 555-7140,10/22/2012,FALSE,M
330223,Mel,Hutchins,Mel Hutchins,1046 Auburn Blvd,Sacramento,CA,94291,hutchins_m9@gmail.com,(916) 949-7374,2/9/2013,TRUE,M
330570,Tyson,Griffin,Tyson Griffin,5874 Priscilla Ln,Sacramento,CA,94261,tyson.g@fastmail.com,(916) 565-8216,8/14/2013,TRUE,M
331115,Janet,Koons,Janet Koons,5726 Jefferson Ave,North Highlands,CA,95660,j.koons@fastmail.com,(916) 490-7982,7/24/2012,TRUE,F
332324,Sheila,Hudson,Sheila Hudson,4685 Flowerwood Way,Sacramento,CA,94288,sheilah@mail.com,(916) 195-5498,12/10/2012,FALSE,F
336644,Charlie,Zink,Charlie Zink,4011 Life Ave,Sacramento,CA,95867,charliez39@yahoo.com,(916) 361-7739,9/12/2012,FALSE,M
343021,Brad,Lidge,Brad Lidge,7335 Loma Oak Ct,Herald,CA,95638,lidgeb@aol.com,(209) 262-5722,1/14/2013,TRUE,M
344702,John,Gibson,John Gibson,2000 De Costa Ave,Rancho Cordova,CA,95742,gibsonj@mail.com,(916) 511-0651,3/3/2013,TRUE,M
345348,Ada,Belle,Ada Belle,7669 Gardenwood Way,Sacramento,CA,95835,b_ada13@outlook.com,(916) 100-2494,6/7/2013,FALSE,F
345748,Vance,Worley,Vance Worley,1297 Goethe Rd,Sacramento,CA,94209,w_vance@yahoo.com,(916) 987-3319,8/10/2013,TRUE,M
346006,Kristi,Kirk,Kristi Kirk,8664 Beret Ln,North Highlands,CA,95660,kristi_k@aol.com,(916) 379-7184,3/21/2013,FALSE,F
347189,Blanche,Decker,Blanche Decker,9874 Accrington Way,Sacramento,CA,95838,decker_b@zoho.com,(916) 959-2997,7/22/2012,FALSE,F
347659,Isabel,Kerr,Isabel Kerr,3904 Faldo Ct,Sacramento,CA,95820,k_isabel@icloud.com,(916) 938-7595,6/16/2013,FALSE,F
352644,Jimmy,Smith,Jimmy Smith,9978 Glenleigh Ct,Sacramento,CA,94209,s.jimmy@yahoo.com,(916) 663-3995,5/10/2013,TRUE,M
353846,Roberta,Otten,Roberta Otten,7033 Calmo Way,Sacramento,CA,94237,otten.r@hotmail.com,(916) 480-2476,12/16/2012,TRUE,F
355107,Ephraim,Salaam,Ephraim Salaam,7309 Sea Glass Way,Sacramento,CA,94288,ephraims@mail.com,(916) 356-4090,5/6/2013,TRUE,M
357579,Cynthia,Robinson,Cynthia Robinson,9816 Gold Point Way,Carmichael,CA,95609,r_cynthia66@icloud.com,(916) 165-5826,11/26/2012,TRUE,F
358901,Michelle,Carpenter,Michelle Carpenter,6724 Gallop Ct,Sacramento,CA,94287,c_michelle@yahoo.com,(916) 194-6390,1/14/2013,FALSE,F
363931,Ryan,Dinwiddie,Ryan Dinwiddie,1818 Coberly Ct,Sacramento,CA,94204,r_dinwiddie@gmail.com,(916) 267-3556,7/8/2012,TRUE,M
366695,Audrey,Higginbotham,Audrey Higginbotham,3540 Richfield Way,Carmichael,CA,95609,haudrey@icloud.com,(916) 400-0088,2/19/2013,FALSE,F
370366,Dion,James,Dion James,6548 Maybrook Dr,Sacramento,CA,94236,james.d@outlook.com,(916) 298-3739,2/25/2013,TRUE,M
370870,Nicholas,Sparks,Nicholas Sparks,9201 Thermiac Gulf Way,Sacramento,CA,94248,n.sparks@aol.com,(916) 126-0724,7/15/2012,TRUE,M
371731,Veronica,Bouchart,Veronica Bouchart,6229 Blaze Ct,Sacramento,CA,94237,v.bouchart@mail.com,(916) 968-3890,4/9/2013,TRUE,F
373200,Rene,Syler,Rene Syler,1551 Holford Way,Sacramento,CA,94268,rene.s@fastmail.com,(916) 566-2029,9/17/2013,FALSE,F
378374,Vic,Grimes,Vic Grimes,5318 Silver Sea Way,Mather,CA,95655,vicg@zoho.com,(916) 206-7464,8/31/2012,FALSE,M
380003,Amobi,Okugo,Amobi Okugo,7399 Mariposa Ave,Sacramento,CA,95827,aokugo@aol.com,(916) 374-8348,10/21/2012,FALSE,M
383684,Derrick,Lewis,Derrick Lewis,735 Fuchsia Ct,Sacramento,CA,95819,d.lewis@outlook.com,(916) 241-1004,11/14/2012,FALSE,M
384899,Charles,Schwab,Charles Schwab,4188 Clarity Ct,Sacramento,CA,95887,schwabc@aol.com,(916) 704-4985,9/14/2013,FALSE,M
385115,Pete,Ranzany,Pete Ranzany,3661 Napa Ave,Citrus Heights,CA,95621,ranzanyp@zoho.com,(916) 705-2949,5/1/2013,TRUE,M
386336,Maxine,Perrin,Maxine Perrin,9352 Oterol Ct,Sacramento,CA,94205,m.perrin72@outlook.com,(916) 131-5603,7/14/2012,TRUE,F
